Название,Артикул,"Вес, кг"
"Сливки косметич. для ухода за кожей вокруг глаз,  35 г","0,045",583
"Маска косметическая для сухой и зрелой кожи, 140 г","0,16",342
"Тоник косметические для сухой и зрелой кожи, 100 г","0,12",345
"Мыло натуральное косметич. для сухой и зрелой кожи, 85 г","0,085",645
"Серия ""4 Seasons Care"" для сухой и чувствительной кожи с сосудистой сеткой",,
,,
,,
"Маска-скраб  (белая глина-каолин, экстракт гингко билоба),  140 г","0,16",997
"Сливки для лица (масло манго и ши, протеины фасоли),  100г","0,12",998
"Тоник для снятия макияжа (протеины риса и шиитаке,экстракт гибискуса), 150 г                                                                                                      Новинка!","0,175",1869
"Сливки для снятия макияжа (протеины злаковых, бета-глюкан), 200 г Новинка!","0,23",1859
"Серия  ""Магия Востока""",,
"Сливки ""Азалия"" для комбинированной кожи,  55 г","0,1",327
"Сливки ""Грейпфрут"" для чувствительной и проблемной кожи, 55 г","0,1",1099
"Сливки ""Жасмин"" для нормальной кожи, 55 г","0,1",328
"Сливки ""Пачули"" для сухой кожи, 55 г","0,1",1100
"Тоник косметический ""Азалия"", освежающий для всех типов кожи, 75 г","0,117",331
"Тоник косметический ""Апельсин"", освежающий для всех типов кожи, 75 г","0,117",332
"Тоник косметический ""Жасмин"", освежающий для всех типов кожи, 75 г","0,117",333
"Сливки для ухода за кожей тела ""Зеленый Чай"" для повышения упругости кожи, 140г","0,16",2041
"Маска для ухода за кожей бюста с эффектом лифтинга,  140 г","0,16",334
"Бальзам ""Пачули"" массажный для похудения, релаксации, повышения чувственности, 14 г","0,034",724
"Серия ""Гранат&Грейпфрут"" для всех типов кожи          Новинка!",,
"Сливки для лица и тела с янтарной кислотой и маслом манго, 100 г","0,12",2179
"Гель для лица и вокруг глаз с гиалуроновой кислотой и экстрактом василька, 80 г","0,092",2219
"Серия ""Xstream"" для мужчин                                                                                                                     Новинка!",,
"Маска-скраб (очищение кожи и интенсивный уход), 140 г                                                            Новинка!","0,16",1000
"Сливки после бритья (восстановление уровня влаги, питание),  80 г","0,092",1001
"Тоник после бритья (защита от раздражения, смягчение, увлажнение) 160 г Новинка!","0,18",1887
"Гель для ног (уменьшение потливости, дезодорирующий эффект),  80 г","0,092",999
"Серия косметики ""Unic"" (Юник) для юной кожи (13-18 лет)",,
"Гель-скраб косметический (удаление черных точек), 140г","0,16",687
"Сливки косметические (увлажнение, питание), 80г","0,092",688
"Мыло натуральное косметическое для подростков, 85 г","0,09",649
"Тоник косметический от угревой сыпи и жирного блеска, 200 г","0,23",709
"Тоник косметический демакияжный,  200 г","0,23",708
"Гель противовоспалительный,  для ухода за юной кожей, 80 г   Новинка!","0,092",1229
"Серия ""Антицеллюлитная программа SPA-Уход""",,
"Тоник косметический, для массажа и обертываний, 300 мл","0,345",699
"Морская соль с эфирными маслами, для ванн и натираний,  500 г","0,56",686
"Сливки косметические №2 в СПА Программе, 140 г","0,16",1552
"Гель косметический №3 в СПА Программе, 140 г","0,16",1553
"Серия ""Genesis"" (рекомендовано использовать  после 25 лет)",,
"Маска  "" Cardamon"",  для интенсивного питания кожи,   140 г","0,16",1003
"Гель "" Hyaluron"", для интенсивного увлажнения кожи,  35 г","0,045",1002
"Серия детской косметики ""Сашенька""",,
"Сливки косметические для малышей, от опрелостей и раздражения, 85 г","0,092",362
"Аэрозоль ароматерапевтический ""Детский Городок"" (бергамот,лаванда, эвкалипт), 10 мл","0,047",702
"Мыло косметическое натуральное для нежной и чувствительной кожи, 80 г","0,09",647
"Соль морская для ванн с эфирными маслами лимона, апельсина, корицы, 500 г","0,56",704
"Биокомплекс при куперозе ""Нет Net!""",,723
"Серия ""Choco Cream"" (Чоко Крим) на основе какао",,
,,
,,
"Гель для лица и кожи вокруг глаз (эффект лифтинга), с протеинами риса, 85 г","0,092",1206
"Сливки увлажняющие для лица и кожи вокруг глаз, с протеинами сои и шелка, 75 г","0,092",1207
"Маска питательная для лица с экстрактом винограда и граната, 140 г","0,16",1108
"Сливки подтягивающие для живота и бедер с экстрактом красного перца, 140г","0,16",1109
"Маска-скраб восстанавливающая для лица и тела, с частичками кофе, 140 г","0,16",1110
"Тоник для лица энергетический с кофеином, 150 г","0,18",1479
"Маска укрепляющая для волос, с кофеином и экстрактом лопуха, 140 г","0,16",1554
"Серия гелей-кондиционеров для  волос ""Fix Style"" (укладка+уход)",,
"Тоник спрей для ухода и защиты волос,  125 г","0,15",1339
,,
Мускатель,"0,033",1560
"Парфюмерные композиции 1,3 мл на открытке",,
Гардения,"0,008",606
Гиацинт,"0,008",607
Дыня,"0,008",592
Жасмин,"0,008",591
Зеленый чай,"0,008",594
Клубника,"0,008",608
Ландыш,"0,008",595
Пион,"0,008",600
Сирень,"0,008",611
Фиалка,"0,008",613
"Парфюмерные композиции 2,4 мл на открытке",,
Мускатель,"0,011",1951
Ваниль,"0,011",2194
Чайная роза,"0,011",2195
Литература (оригинальная разработка производителя),,
"Брошюра ""Профилактика и лечение заболеваний  ароматами""","0,02",1081
"Брошюра ""Мир восточных благовоний""","0,03",727
"Брошюра ""Арома-, Фитотерапия""   (при гриппе и других ОРВИ)","0,095",633
"Брошюра ""Ключи к здоровью"" (фито - ароматерапия для лечения заболеваний костно-мышечной системы)","0,045",726
"Книга ""Полная  Ароматерапия""","0,45",171
"Книга ""Секреты интимной ароматерапии""","0,245",173
"Серия ""Крымский Сувенир"" (подарочный набор в картонной упаковке)  (3шт-5мл)",,
с композициями эфирных масел,,
АромаАптечка Дорожная,"0,107",673
АромаХиты Для Сауны,"0,107",672
Сундучок Хозяюшки,"0,107",674
с ароматизаторами,,
"Ароматный Букет (""Жасмин"", ""Чайная Роза"", ""Магнолия"")","0,107",671
"Фруктовое Ассорти (""Клубника"", ""Ваниль"", ""Мускатель"")","0,107",675
"Цветочный Бисер (""Сирень"", ""Фиалка"", ""Ландыш"")","0,107",676
"Аэрозоли с эфирными маслами серии "" Полиол"" 10 мл  (растительные антисептики и адаптогены)",,
,,
"Полиол Плюс  (эф. масла лаванды, шалфея, можжев., кориандра и розы)","0,047",703
"Аромадоктор  (эф. масла лаванды, пихты, апельсина, чайного дерева)","0,047",701
"Love&Passion женский аромат, эфирные масла - растительные феромоны","0,047",1005
"Fresh Air - мужской аромат, для ароматизации помещений, салона автомобиля","0,047",1004
Композиции э/м 1 шт. - 5 мл. евро флакон в коробке,,
Афродизиаки - композиция 1,"0,033",103
Афродизиаки - композиция 2 (с розой),"0,033",104
Для защиты от агрессии и вампиризма,"0,033",108
Для массажа при целлюлите,"0,033",110
Для сауны и бани,"0,033",114
"От комаров, моли и при укусах насекомых","0,033",109
"При бессоннице, неврозах и депрессии","0,033",105
При варикозном расширении вен,"0,033",106
При головной боли,"0,033",107
При перхоти и выпадении волос,"0,033",111
При простуде и гриппе,"0,033",112
"При ревматизме, радикулите ","0,033",113
"Н/м  в ПЭТ упаковке на большой открытке (3шт-0,5мл.)",,
Ароматы любви,"0,009",1181
"Для лечения бронхитов, ОРЗ, пневмонии, гриппа","0,007",552
для мужчин,"0,009",514
для детей,"0,009",559
"Композиции эф. масел на малой открытке ПЭТ (1 шт.-2,4 мл)",,
Аромат Удачи и Богатства ,"0,009",2191
Секрет Обольщения ,"0,009",2269
"Композиции эф. масел на малой открытке ПЭТ (1 шт.-1,3 мл)",,
Для Любимой Мамы,"0,006",184
Эфирные Масла При Простуде ,"0,006",182
"Композиции эфирных масел 2,4 мл с аромамедальоном, ПЭТ",,
Благополучие в доме,"0,009",1970
Счастливого пути,"0,009",1969
"'Мандарин""","0,009",1981
Флирт,"0,009",2112
"От сглаза""","0,009",2183
,,
,,
Цейлонский чай с крымскими травами 150 г,,
"Зеленый чай с земляникой, мятой и васильком 150г","0,17",1011
Зеленый чай с земляникой и розой 150г,"0,17",1012
"Черный чайс розой, васильком и календулой 150г","0,17",1026
Черный чай с календулой и мятой 150г,"0,17",1024
Черный чай с мятой и розой 150г,"0,17",1025
Мультисборы из крымских трав 80 г,,
Мультисбор №1 (для профилактики и лечения ОРЗ и ОРВИ),"0,1",1013
"Мультисбор №2 (отхаркивающее действие, бактерицидные свойства)","0,1",1016
Мультисбор №3 (желчегонное и мочегонное действие),"0,1",1017
Мультисбор №4 (для улучшения работы желудочно-кишечного тракта),"0,1",1018
"Мультисбор №5 (мягкое похудение, омоложение организма) 80г","0,1",1019
Мультисбор №6 (при невротических головных болях и гипертонии),"0,1",1020
Мультисбор №7 (для укрепления сосудов и уменьшения венозной сетки),"0,1",1021
"Мультисбор №8 (для придания бодрости, тонуса и прилива сил)","0,1",1022
Мультисбор №9 (для улучшения настроения и общего самочувствия),"0,1",1023
"Мультисбор №10 (при бессонице, нервном возбуждении и гиперактивности)","0,1",1014
"Мультисбор №11 (при бессонице, нервном возбуждении и гиперактивности)","0,1",1015
"Продукция ЧП ""Конфитю"". Крымские лакомства (натуральные сиропы и варенье).",,
а. Варенье,,
"Варенье из абрикоса с апельсином, 300 г","0,515",747
"Варенье из боярышника, 300г","0,515",749
"Варенье из зеленых грецких орехов, 600г","0,935",751
"Варенье из лепестков роз,  250г","0,385",756
"Варенье из клубники в розовом сиропе,  320г","0,535",755
"Варенье из черешни с лимоном,  320г","0,535",744
"Варенье из инжира,  600г","0,935",1008
"Варенье из груши с апельсином,  600г     Новинка!","0,935",736
"Варенье из калины, 250г","0,385",753
"Варенье из кизила с лепестками роз,310г","0,525",754
"Варенье из айвы с лимоном, 320г","0,535",748
"Варенье из сливы с апельсином, 600г","0,935",757
"Варенье из персиков с апельсином,  600 г        Новинка!","0,935",737
"Варенье из облепихи,   250г       Новинка!","0,385",1009
"Варенье из бузины, 250г Новинка!","0,41",750
"Варенье из имбиря с апельсином и лимоном, 300г","0,515",752
Варенье из черноплодной рябины 250г Новинка!,"0,41",758
"Варенье из шиповника в розовом сиропе, 250г Новинка!","0,385",1010
